subject_name,topic_name,sub_topic_name
ENT,Physiology of Nose & Paranasal Sinuses,Mucus blanket physiology
ENT,Physiology of Nose & Paranasal Sinuses,Olfactory area of the nose – Overview
ENT,Physiology of Nose & Paranasal Sinuses,Physiology of PNS
ENT,Physiology of Nose & Paranasal Sinuses,Anatomy of Maxiallry sinus
ENT,Physiology of Nose & Paranasal Sinuses,Anatomy of sphenoid sinus
ENT,Physiology of Nose & Paranasal Sinuses,Causes of Anosmia
ENT,Nasal Polyps & Deviated Nasal Septum,Ethmoidal polyps
ENT,Nasal Polyps & Deviated Nasal Septum,Bernoulli’s phenomenon
ENT,Nasal Polyps & Deviated Nasal Septum,Bony septal perforation occurs in
ENT,Nasal Polyps & Deviated Nasal Septum,Alternative for SMR
ENT,Nasal Polyps & Deviated Nasal Septum,Cottle’s test
ENT,Nasal Polyps & Deviated Nasal Septum,Young’s syndrome
ENT,Nasal Polyps & Deviated Nasal Septum,Antrochoanal Polyp
ENT,Nasal Polyps & Deviated Nasal Septum,Septal Haematoma
ENT,Nasal Polyps & Deviated Nasal Septum,Septoplasty
ENT,Nasal Polyps & Deviated Nasal Septum,"DNS – overview, Rx"
ENT,Nasal Polyps & Deviated Nasal Septum,Ethmoidal polyp
ENT,Nasal Polyps & Deviated Nasal Septum,Kartagener syndrome
ENT,Chronic Suppurative Otitis Media,Tubotympanic type of CSOM
ENT,Chronic Suppurative Otitis Media,Levenson criteria
ENT,Chronic Suppurative Otitis Media,Rx of choice in atticoantral variety of CSOM
ENT,Chronic Suppurative Otitis Media,Myringoplasty
ENT,Chronic Suppurative Otitis Media,Tubercular otitis media
ENT,Chronic Suppurative Otitis Media,Theory for secondary cholesteatoma
ENT,Chronic Suppurative Otitis Media,Classification of CSOM
ENT,Chronic Suppurative Otitis Media,Cholesteatoma
ENT,Chronic Suppurative Otitis Media,Types of tympanic membrane perforation
ENT,Chronic Suppurative Otitis Media,Austin’s classification
ENT,Chronic Suppurative Otitis Media,Types of tympanoplasty
ENT,Chronic Suppurative Otitis Media,Signs of impending complication in attico-antral disease
ENT,Chronic Suppurative Otitis Media,Graft Materials Used in Tympanoplasty
ENT,Chronic Suppurative Otitis Media,Tympanoplasty
ENT,Otosclerosis,MC age group affected in otosclerosis
ENT,Otosclerosis,Rx of choice in otosclerosis
ENT,Otosclerosis,Otosclerosis – inheritance
ENT,Otosclerosis,Medication which hastens maturity of active focus in otosclerosis
ENT,Otosclerosis,Tests is used to diagnose otosclerosis
ENT,Otosclerosis,MC affected part in otosclerosis is
ENT,Otosclerosis,Carhart’s notch typically dips at
ENT,Otosclerosis,Types of curves in tympanogram
ENT,Otosclerosis,Lempert’s fenestration operation
ENT,Otosclerosis,Stapedotomy
ENT,Otosclerosis,Paracusis willisii
ENT,Eustachian Tube,Muscles of the Eustachian tube
ENT,Eustachian Tube,Causes for otitic barotrauma
ENT,Eustachian Tube,Anatomy of Eustachain tube – Overview
ENT,Eustachian Tube,Length of the eustachian tube
ENT,Eustachian Tube,Autophony is seen in
ENT,Eustachian Tube,Tests for Eustachian tube function
ENT,Eustachian Tube,Muscles of the Eustachian tube
ENT,Facial Nerve Disorders,MC cause of LMN facial nerve palsy
ENT,Facial Nerve Disorders,Branches of Facial Nerve
ENT,Facial Nerve Disorders,MC type of nerve injury
ENT,Facial Nerve Disorders,Ramsay Hunt syndrome – Overview
ENT,Facial Nerve Disorders,Nerve of Wrisberg
ENT,Facial Nerve Disorders,Facial Nerve – Sites of lesion & Clinical Features
ENT,Facial Nerve Disorders,Facial Nerve – Neuroanatomy
ENT,Facial Nerve Disorders,Frey’s syndrome
ENT,Facial Nerve Disorders,Bell’s palsy – Overview
ENT,Tumors of the Ear,Hitzelberger’s sign is seen in
ENT,Tumors of the Ear,Glomus jugulare
ENT,Tumors of the Ear,MC presenting symptom of acoustic neuroma
ENT,Tumors of the Ear,Pulsatile tinnitus is seen in
ENT,Tumors of the Ear,Signs in Glomus Tumors
ENT,Tumors of the Ear,Acoustic neuroma
ENT,Tumors of the Ear,Exostosis
ENT,Diseases of External Ear,"During syringing, water jet is directed along"
ENT,Diseases of External Ear,Surgery done to widen the cartilaginous part of the external auditory canal
ENT,Diseases of External Ear,Malignant otitis externa
ENT,Diseases of External Ear,Keratosis obturans
ENT,Diseases of External Ear,Otomycosis
ENT,Diseases of External Ear,Retracted tympanic membrane
ENT,Diseases of External Ear,Tos’s classification of retraction of Pars Flaccida
ENT,Diseases of External Ear,Ramsay Hunt syndrome
ENT,Diseases of External Ear,Sade’s classification of retraction of Pars Tensa
ENT,Diseases of External Ear,Swimmer’s ear
ENT,Diseases of External Ear,Congenital anomalies of pinna
