sub_topic_name,topic_name,subject_name
Most potent inhaled anesthetic,Inhaled Anesthetics,Anesthesiology
Blood gas partition coefficient,Inhaled Anesthetics,Anesthesiology
Induction agent of choice,Inhaled Anesthetics,Anesthesiology
Diffusion hypoxia is observed in,Inhaled Anesthetics,Anesthesiology
Drugs to avoid in jaundice,Inhaled Anesthetics,Anesthesiology
MAC of inhaled anesthetics,Inhaled Anesthetics,Anesthesiology
Most epileptogenic inhalational anesthetic,Inhaled Anesthetics,Anesthesiology
Contraindications for Nitrous oxide,Inhaled Anesthetics,Anesthesiology
Nitrous oxide – Overview,Inhaled Anesthetics,Anesthesiology
DOC in Neurosurgery,Inhaled Anesthetics,Anesthesiology
Greenhouse effect,Inhaled Anesthetics,Anesthesiology
Xenon – Overview,Inhaled Anesthetics,Anesthesiology
MAC of inhaled anesthetics,Inhaled Anesthetics,Anesthesiology
Coronary steal phenomenon,Inhaled Anesthetics,Anesthesiology
Overview of Inhalational agents,Inhaled Anesthetics,Anesthesiology
Induction agents,Inhaled Anesthetics,Anesthesiology
Factors affecting MAC,Inhaled Anesthetics,Anesthesiology
Anesthetic drugs in Renal Failure,Inhaled Anesthetics,Anesthesiology
Halothane hepatitis – Overview,Inhaled Anesthetics,Anesthesiology
Assessment of depth of anesthesia,Intraoperative Monitoring,Anesthesiology
Predicting risks of perioperative cardiac complications,Intraoperative Monitoring,Anesthesiology
Nerve to assess neuromuscular blockade,Intraoperative Monitoring,Anesthesiology
Assessment of Intraoperative awareness,Intraoperative Monitoring,Anesthesiology
Best site for core temperature monitoring during malignant hyperthermia,Intraoperative Monitoring,Anesthesiology
Surest sign of tracheal intubation,Intraoperative Monitoring,Anesthesiology
Cardiac output measurement techniques,Intraoperative Monitoring,Anesthesiology
Capnography waveforms – Overview,Intraoperative Monitoring,Anesthesiology
Color Coding of IV Cannulae,Intraoperative Monitoring,Anesthesiology
Perioperative respiratory monitoring,Intraoperative Monitoring,Anesthesiology
End-Tidal CO2 – Factors affecting,Intraoperative Monitoring,Anesthesiology
Allen’s test – Overview,Intraoperative Monitoring,Anesthesiology
Invasive BP measurement,Intraoperative Monitoring,Anesthesiology
Complications of pulmonary artery cathererization,Intraoperative Monitoring,Anesthesiology
Methods of cardiovascular monitoring,Intraoperative Monitoring,Anesthesiology
EEG in Anesthesia,Intraoperative Monitoring,Anesthesiology
Indicator of myocardial ischemia in the perioperative setting,Intraoperative Monitoring,Anesthesiology
Contraindication for Laryngeal Mask Airway,Airway Management,Anesthesiology
Modified Mallampati grading,Airway Management,Anesthesiology
Laryngeal Mask Airway – Images,Airway Management,Anesthesiology
Ideal choice of muscle relaxant in Hiatus hernia,Airway Management,Anesthesiology
Murphy’s eye is seen in,Airway Management,Anesthesiology
Glycopyrrolate is used for,Airway Management,Anesthesiology
Time required for preoxygenation,Airway Management,Anesthesiology
Laryngeal Mask Airway – Overview,Airway Management,Anesthesiology
Nasopharyngeal airway – Overview,Airway Management,Anesthesiology
Invasive airway procedures,Airway Management,Anesthesiology
Signs of correct endotracheal intubation,Airway Management,Anesthesiology
Specialized endotracheal tubes,Airway Management,Anesthesiology
Sizes of the Endotracheal tube,Airway Management,Anesthesiology
Airway assessment methods,Airway Management,Anesthesiology
Contraindications for bag and mask ventilation,Airway Management,Anesthesiology
Nasotracheal intubation – Overview,Airway Management,Anesthesiology
Factors affecting End-tidal CO2,Airway Management,Anesthesiology
Sizes of the laryngeal mask airway,Airway Management,Anesthesiology
Types of Laryngoscopic blade,Airway Management,Anesthesiology
Post-neuraxial shivering,Regional Anesthesia,Anesthesiology
Epidural anaesthesia,Regional Anesthesia,Anesthesiology
Nerve fibers most susceptible to local anesthetics are,Regional Anesthesia,Anesthesiology
Contraindications for Spinal anesthesia,Regional Anesthesia,Anesthesiology
Important spaces in the Spinal cord,Regional Anesthesia,Anesthesiology
Spinal vs Epidural anesthesia,Regional Anesthesia,Anesthesiology
Spinal headache,Regional Anesthesia,Anesthesiology
Dermatomal spread of spinal anesthesia,Regional Anesthesia,Anesthesiology
Post-Dural Puncture Headache,Regional Anesthesia,Anesthesiology
Subarachnoid Block,Regional Anesthesia,Anesthesiology
Types of spinal needles,Regional Anesthesia,Anesthesiology
Contraindications for Epidural anesthesia,Regional Anesthesia,Anesthesiology
Complications of neuraxial anesthesia,Regional Anesthesia,Anesthesiology
Ventilatory mode causing Respiratory Alkalosis,Breathing Circuits,Anesthesiology
PIN index system,Breathing Circuits,Anesthesiology
Diameter Index Safety system,Breathing Circuits,Anesthesiology
Maximum pressure in oxygen cylinder,Breathing Circuits,Anesthesiology
Most effective circuit for anesthesia under spontaneous breathing,Breathing Circuits,Anesthesiology
Major constituent of soda lime,Breathing Circuits,Anesthesiology
Medical Cylinders,Breathing Circuits,Anesthesiology
CO2 Absorbers,Breathing Circuits,Anesthesiology
Types of anesthesia machine,Breathing Circuits,Anesthesiology
Pressure systems in Anesthesia Workstations,Breathing Circuits,Anesthesiology
Mapleson’s circuits – Overview,Breathing Circuits,Anesthesiology
Shortest acting muscle relaxant,Muscle Relaxants,Anesthesiology
Types of muscle relaxants,Muscle Relaxants,Anesthesiology
Side effects of succinyl choline,Muscle Relaxants,Anesthesiology
Drug eliminated in Liver,Muscle Relaxants,Anesthesiology
Mechanism of action for the curare group,Muscle Relaxants,Anesthesiology
Succinyl choline – Drug interactions,Muscle Relaxants,Anesthesiology
"Drugs safe in Renal Failure, Hepatic Failure",Muscle Relaxants,Anesthesiology
Atracurium – Overview,Muscle Relaxants,Anesthesiology
Pseudocholinesterase – Overview,Muscle Relaxants,Anesthesiology
"Drugs to avoid in Renal Failure, Hepatic Failure",Muscle Relaxants,Anesthesiology
Reversal agents,Muscle Relaxants,Anesthesiology
Dibucaine number,Muscle Relaxants,Anesthesiology
Contraindications of Succinlycholine,Muscle Relaxants,Anesthesiology
DOC in pediatric intubation,Muscle Relaxants,Anesthesiology
Sch – Overview,Muscle Relaxants,Anesthesiology
Muscle relaxants – Overview,Muscle Relaxants,Anesthesiology
Non-depolarizing muscle relaxants – List,Muscle Relaxants,Anesthesiology
Intravenous induction agent of choice in hypotension,Intravenous Anesthetics,Anesthesiology
Intravenous anesthetic that can be used to reduce postoperative pain,Intravenous Anesthetics,Anesthesiology
True about Ketamine,Intravenous Anesthetics,Anesthesiology
Intravenous induction agent – Example,Intravenous Anesthetics,Anesthesiology
Pain on injection is seen with all except,Intravenous Anesthetics,Anesthesiology
Cerebroprotective action of thiopentone,Intravenous Anesthetics,Anesthesiology
Ketamine Contraindications,Intravenous Anesthetics,Anesthesiology
Which of the following can be safely used in a case of head injury?,Intravenous Anesthetics,Anesthesiology
Intravenous anesthetic which raises intracranial pressure is,Intravenous Anesthetics,Anesthesiology
DOC for fast-track Anesthesia,Intravenous Anesthetics,Anesthesiology
Airway reflexes are best preserved with which intravenous anesthetic,Intravenous Anesthetics,Anesthesiology
Intravenous induction agent of choice in a known case of bronchial asthma,Intravenous Anesthetics,Anesthesiology
DOC for Ambulatory Anesthesia,Intravenous Anesthetics,Anesthesiology
Inhalational anesthetic of choice for day care surgery,Intravenous Anesthetics,Anesthesiology
True about Propofol,Intravenous Anesthetics,Anesthesiology
Intravenous induction agent of choice for day care anesthesia,Intravenous Anesthetics,Anesthesiology
ADRs of Daycare Anesthesia,Intravenous Anesthetics,Anesthesiology
Emergence reaction – Overview,Intravenous Anesthetics,Anesthesiology
Drugs casuing Myoclonus,Intravenous Anesthetics,Anesthesiology
Drug associated with emergence reactions,Intravenous Anesthetics,Anesthesiology
Muscle relaxant of choice for day-care surgery,Intravenous Anesthetics,Anesthesiology
Anesthetics in Head Injury,Intravenous Anesthetics,Anesthesiology
Propofol Overview,Intravenous Anesthetics,Anesthesiology
Fospropofol Overview,Intravenous Anesthetics,Anesthesiology
Total intravenous anaesthesia – Overview,Intravenous Anesthetics,Anesthesiology
Premedications – Indications,Intravenous Anesthetics,Anesthesiology
Etomidate Overview,Intravenous Anesthetics,Anesthesiology
Drug causing Adreno-cortical suppression,Intravenous Anesthetics,Anesthesiology
Drugs causing Epilepsy,Intravenous Anesthetics,Anesthesiology
Drugs causing Hypertension,Intravenous Anesthetics,Anesthesiology
Dissociative state of anesthesia,Intravenous Anesthetics,Anesthesiology
Barbiturate – Overview,Intravenous Anesthetics,Anesthesiology
Drug causing Pancreatitis,Intravenous Anesthetics,Anesthesiology
Drug associated with PONV,Intravenous Anesthetics,Anesthesiology
Malignant Hyperthermia – Overview,Intravenous Anesthetics,Anesthesiology
Propofol infusion syndrome,Intravenous Anesthetics,Anesthesiology
Robin Hood phenomenon,Intravenous Anesthetics,Anesthesiology
Ketamine – Overview,Intravenous Anesthetics,Anesthesiology
Drug Associated with raised IOP,Intravenous Anesthetics,Anesthesiology
Premedications – Overview,Intravenous Anesthetics,Anesthesiology
Drug associated with risk of Life Threatening infections,Intravenous Anesthetics,Anesthesiology
"Thiopentone – Pharmacokinetics, Dose, Contraindications, ADRs",Intravenous Anesthetics,Anesthesiology
Gene repair in CRISPR-Cas9,DNA Structure and Replication,Biochemistry
Klenow fragment lacks the activity of,DNA Structure and Replication,Biochemistry
DNA organization in chromosomes,DNA Structure and Replication,Biochemistry
Types of Histones,DNA Structure and Replication,Biochemistry
True about DNA replication,DNA Structure and Replication,Biochemistry
Which of the following does not favor euchromatin formation,DNA Structure and Replication,Biochemistry
What percentage of cellular DNA is in mitochondria,DNA Structure and Replication,Biochemistry
Chimeric DNA is used for,DNA Structure and Replication,Biochemistry
DNA synthesis occurs in which phase?,DNA Structure and Replication,Biochemistry
Chargaff’s rule,DNA Structure and Replication,Biochemistry
DNA polymerase I – Overview,DNA Structure and Replication,Biochemistry
Diseases of DNA Damage Repair,DNA Structure and Replication,Biochemistry
Mitochondrial DNA – Overview,DNA Structure and Replication,Biochemistry
Bonds in DNA,DNA Structure and Replication,Biochemistry
Suggested Revision,DNA Structure and Replication,Biochemistry
DNA polymerase complex -Overview,DNA Structure and Replication,Biochemistry
Salient features of DNA replication,DNA Structure and Replication,Biochemistry
Types of DNA damage,DNA Structure and Replication,Biochemistry
Denaturation of DNA – Overview,DNA Structure and Replication,Biochemistry
DNA Repair Mechanisms,DNA Structure and Replication,Biochemistry
Heterochromatin – Overview,DNA Structure and Replication,Biochemistry
Enzymes Involved in DNA Replication,DNA Structure and Replication,Biochemistry
Chaperones assist in,Protein Structure & Function,Biochemistry
Structural organization of proteins – Overview,Protein Structure & Function,Biochemistry
Interactions stabilizing the tertiary structures of globular proteins,Protein Structure & Function,Biochemistry
Quaternary structure – Basics,Protein Structure & Function,Biochemistry
Menkes disease – Clinical Features,Protein Structure & Function,Biochemistry
Rossman fold-associated NADH domain is found in,Protein Structure & Function,Biochemistry
AA part of alpha helix,Protein Structure & Function,Biochemistry
Collagen – Types & Functions,Protein Structure & Function,Biochemistry
Homologous replacement of AA,Protein Structure & Function,Biochemistry
Glycoprotein classification,Protein Structure & Function,Biochemistry
Function of the proteasome,Protein Structure & Function,Biochemistry
Protein-misfolding diseases,Protein Structure & Function,Biochemistry
Protein structure,Protein Structure & Function,Biochemistry
Methods to study 3-D structure of proteins,Protein Structure & Function,Biochemistry
Types of Chromatography,Protein Structure & Function,Biochemistry
Disorders of Glycoproteins – Overview,Protein Structure & Function,Biochemistry
Denaturation of proteins,Protein Structure & Function,Biochemistry
Disorders of Collagen metabolism – Overview,Protein Structure & Function,Biochemistry
Transport proteins,Protein Structure & Function,Biochemistry
Highest electrophoretic mobility,Cholesterol Metabolism,Biochemistry
Functions of lipoprotein,Cholesterol Metabolism,Biochemistry
Activator of LCAT,Cholesterol Metabolism,Biochemistry
Largest human plasma lipoprotein,Cholesterol Metabolism,Biochemistry
Abnormalities in different Familial Dyslipidemias,Cholesterol Metabolism,Biochemistry
Main apolipoprotein for LDL,Cholesterol Metabolism,Biochemistry
First hormone to be produced in cholesterol synthesis,Cholesterol Metabolism,Biochemistry
Apolipoproteins – Overview,Cholesterol Metabolism,Biochemistry
Bile acid metabolism,Cholesterol Metabolism,Biochemistry
Overview of Lipoproteins,Cholesterol Metabolism,Biochemistry
Overview of Cholesterol synthesis,Cholesterol Metabolism,Biochemistry
Regulation of cholesterol synthesis,Cholesterol Metabolism,Biochemistry
Competitive inhibition – Overview,Enzyme Kinetics,Biochemistry
Covalent modifications of enzymes,Enzyme Kinetics,Biochemistry
Allosteric modification,Enzyme Kinetics,Biochemistry
Types of Inhibition and examples,Enzyme Kinetics,Biochemistry
Suicidal Inhibitors,Enzyme Kinetics,Biochemistry
Non-competitive inhibition – Overview,Enzyme Kinetics,Biochemistry
Catalytic efficiency of enzyme,Enzyme Kinetics,Biochemistry
Determinants of Rate of Reaction,Enzyme Kinetics,Biochemistry
Enzyme activated by a decrease in insulin: glucagon ratio is,Glycolysis & Gluconeogenesis,Biochemistry
Transport of ammonia in blood (Cahill and Cori cycle),Glycolysis & Gluconeogenesis,Biochemistry
"Fructose 2, 6 bisphosphate – Overview",Glycolysis & Gluconeogenesis,Biochemistry
Characteristics of Hexokinase and Glucokinase,Glycolysis & Gluconeogenesis,Biochemistry
Irreversible enzymes in gluconeogenesis pathway,Glycolysis & Gluconeogenesis,Biochemistry
Metabolic processes in Fasting stage and fed stage,Glycolysis & Gluconeogenesis,Biochemistry
Rate determining enzymes and their key regulators,Glycolysis & Gluconeogenesis,Biochemistry
Substrates for gluconeogenesis,Glycolysis & Gluconeogenesis,Biochemistry
Malate shuttle – Overview,Glycolysis & Gluconeogenesis,Biochemistry
ATP yield – Overview,Glycolysis & Gluconeogenesis,Biochemistry
Sites of various pathways in cell,Glycolysis & Gluconeogenesis,Biochemistry
Pyruvate metabolism,Glycolysis & Gluconeogenesis,Biochemistry
Inhibitors of glycolytic enzymes,Glycolysis & Gluconeogenesis,Biochemistry
Inhibitors of metabolic pathways,Glycolysis & Gluconeogenesis,Biochemistry
Glucose transporters and their locations,Glycolysis & Gluconeogenesis,Biochemistry
Glycemic index for common foods,Carbohydrates of Clinical Importance,Biochemistry
Respiratory quotient for different nutrients,Carbohydrates of Clinical Importance,Biochemistry
Glycosaminoglycan involved in cellular migration,Carbohydrates of Clinical Importance,Biochemistry
Aldose & Ketose sugars – examples,Carbohydrates of Clinical Importance,Biochemistry
Sites of synthesis of glycosaminoglycans,Carbohydrates of Clinical Importance,Biochemistry
Glycosaminoglycan present in the cornea,Carbohydrates of Clinical Importance,Biochemistry
Epimer – Examples,Carbohydrates of Clinical Importance,Biochemistry
Enantiomers – examples,Carbohydrates of Clinical Importance,Biochemistry
Mucopolysaccharidoses – Important Clinical features,Carbohydrates of Clinical Importance,Biochemistry
Tests for Carbohydrates,Carbohydrates of Clinical Importance,Biochemistry
Glycosoaminoglycans – Overview,Carbohydrates of Clinical Importance,Biochemistry
Composition of common Carbohydrates,Carbohydrates of Clinical Importance,Biochemistry
Phospholipid found only in the mitochondria,Acylglycerols & Sphingolipids,Biochemistry
Types of Phospholipids,Acylglycerols & Sphingolipids,Biochemistry
Tay-Sachs disease – Clinical findings,Acylglycerols & Sphingolipids,Biochemistry
Pulmonary Surfactant – overview,Acylglycerols & Sphingolipids,Biochemistry
Inheritance pattern of Sphingolipidoses,Acylglycerols & Sphingolipids,Biochemistry
Inability to degrade sphingomyelin is seen in,Acylglycerols & Sphingolipids,Biochemistry
Glycosphingolipid is made up of,Acylglycerols & Sphingolipids,Biochemistry
Types of Sphingolipids,Acylglycerols & Sphingolipids,Biochemistry
Glycosphingolipids – Overview,Acylglycerols & Sphingolipids,Biochemistry
Triacylglycerol Metabolism – Overview,Acylglycerols & Sphingolipids,Biochemistry
Sphingolipidoses – Salient features,Acylglycerols & Sphingolipids,Biochemistry
Phospholipids – Overview,Acylglycerols & Sphingolipids,Biochemistry
Index of vitamin B1 nutritional status,HMP Shunt and Miscellaneous Pathways,Biochemistry
NADPH – Uses,HMP Shunt and Miscellaneous Pathways,Biochemistry
G6PD deficiency – Overview,HMP Shunt and Miscellaneous Pathways,Biochemistry
HMP shunt – Organelle involved,HMP Shunt and Miscellaneous Pathways,Biochemistry
Uronic acid pathway – Overview,HMP Shunt and Miscellaneous Pathways,Biochemistry
Essential Pentosuria – Overview,HMP Shunt and Miscellaneous Pathways,Biochemistry
HMP Shunt Overview,HMP Shunt and Miscellaneous Pathways,Biochemistry
Ornithine transcarbamoylase deficiency,Urea Cycle,Biochemistry
Urea cycle and Krebs cycle are linked at,Urea Cycle,Biochemistry
Carbamoyl phosphate synthetase I & II,Urea Cycle,Biochemistry
Deficiency of arginosuccinate synthetase causes,Urea Cycle,Biochemistry
Hyperammonemia type 2 – Clinical Features,Urea Cycle,Biochemistry
Enzymes of Urea Cycle,Urea Cycle,Biochemistry
Drug used to reduce the levels of ammonia,Urea Cycle,Biochemistry
Use of Phenylbutyrate,Urea Cycle,Biochemistry
Enzyme regulation in Urea cycle,Urea Cycle,Biochemistry
Primary prostaglandins,Fatty Acid Synthesis,Biochemistry
Fatty acid synthase complex does not include,Fatty Acid Synthesis,Biochemistry
What is the first step in synthesis of eicosanoids?,Fatty Acid Synthesis,Biochemistry
Lipoxygenases is involved in the synthesis of leukotrienes,Fatty Acid Synthesis,Biochemistry
MC end-product of fatty acid synthesis,Fatty Acid Synthesis,Biochemistry
Reducing Equivalents and Their Uses,Fatty Acid Synthesis,Biochemistry
Allosteric activator of acetyl CoA carboxylase,Fatty Acid Synthesis,Biochemistry
Fatty Acid Elongation,Fatty Acid Synthesis,Biochemistry
COX pathway,Fatty Acid Synthesis,Biochemistry
Intermediate product of biosynthesis of fatty acid,Fatty Acid Synthesis,Biochemistry
Location of fatty acid synthesis,Fatty Acid Synthesis,Biochemistry
Enzymes active in phosphorylated and dephosphorylated state,Fatty Acid Synthesis,Biochemistry
Inhibitors of metabolic pathways,Bioenergetics,Biochemistry
Oxidative phosphorylation & the ATP production,Bioenergetics,Biochemistry
Enzymes are present in the mitochondrial matrix,Bioenergetics,Biochemistry
Components of cytochrome oxidase,Bioenergetics,Biochemistry
Electron transport chain – components and its inhibitors,Bioenergetics,Biochemistry
CRISPR-Cas9,Techniques in Molecular Biology,Biochemistry
Southern blotting,Techniques in Molecular Biology,Biochemistry
RT-PCR is a method that is used for,Techniques in Molecular Biology,Biochemistry
Best method to identify HbA1c,Techniques in Molecular Biology,Biochemistry
Complementation,Techniques in Molecular Biology,Biochemistry
Northern blotting is used for detection of,Techniques in Molecular Biology,Biochemistry
Restriction endonuclease will act on,Techniques in Molecular Biology,Biochemistry
Structural Alterations of the 尾 -Globin Gene,Techniques in Molecular Biology,Biochemistry
Cloning vectors,Techniques in Molecular Biology,Biochemistry
Best screening investigation for metabolic disorders,Techniques in Molecular Biology,Biochemistry
Localization of Human Genes,Techniques in Molecular Biology,Biochemistry
DNA profiling,Techniques in Molecular Biology,Biochemistry
In situ hybridization,Techniques in Molecular Biology,Biochemistry
Fluorescent In Situ Hybridisation (FISH),Techniques in Molecular Biology,Biochemistry
PCR reaction,Techniques in Molecular Biology,Biochemistry
Enzymes Used in Recombinant DNA Research,Techniques in Molecular Biology,Biochemistry
Gene library,Techniques in Molecular Biology,Biochemistry
RFLP,Techniques in Molecular Biology,Biochemistry
Rate-limiting enzyme of glycogenolysis,Glycogen Metabolism,Biochemistry
Structural Bond of Various Polysaccharides,Glycogen Metabolism,Biochemistry
Allosteric activator of muscle glycogen phosphorylase,Glycogen Metabolism,Biochemistry
Glycogen Storage Diseases,Glycogen Metabolism,Biochemistry
Glycogenolysis,Glycogen Metabolism,Biochemistry
Regulation of Glycogen metabolism by hormones,Glycogen Metabolism,Biochemistry
Organs using ketone bodies,Fatty Acid Oxidation,Biochemistry
Rate-limiting enzyme in beta-oxidation of fatty acids,Fatty Acid Oxidation,Biochemistry
