Subject,Topic,Subtopic
Anatomy,Cranial Nerves,Identification of the facial nerve trunk
Anatomy,Cranial Nerves,Trigeminal nerve nucleus functions and location
Anatomy,Cranial Nerves,Base of skull Formaina
Anatomy,Cranial Nerves,Cranial Nerve nuclei
Anatomy,Upper Limb – Nerves,Ulnar Nerve Injury – Clinical features
Anatomy,Upper Limb – Nerves,Nerves affected in injury to medial epicondyle of the humerus
Anatomy,Upper Limb – Nerves,Wrist slash injuries
Anatomy,Upper Limb – Nerves,Card Test
Anatomy,Upper Limb – Nerves,Nerves not directly related to humerus
Anatomy,Upper Limb – Nerves,Brachial plexus – Anatomy
Anatomy,Upper Limb – Nerves,Structures of brachial plexus not giving branches
Anatomy,Upper Limb – Nerves,Horner Syndrome
Anatomy,Upper Limb – Nerves,Testing of Median Nerve Injury
Anatomy,Upper Limb – Nerves,Median Nerve Injury – Clinical features
Anatomy,Upper Limb – Nerves,Testing of Long Thoracic Nerve
Anatomy,Upper Limb – Nerves,Klumpke’s plasy
Anatomy,Upper Limb – Nerves,Carpal tunnel syndrome
Anatomy,Upper Limb – Nerves,Axillary Nerve Injury
Anatomy,Upper Limb – Nerves,Power grip of hand
Anatomy,Upper Limb – Nerves,Erb’s Palsy
Anatomy,Histology – GI Tract,Space of Disse
Anatomy,Histology – GI Tract,Structures forming the portal triad of the liver
Anatomy,Histology – GI Tract,Types of cells in the gastric glands
Anatomy,Histology – GI Tract,Gut wall layers
Anatomy,Histology – GI Tract,Paneth cells
Anatomy,Histology – GI Tract,Brunner’s glands
Anatomy,Brain – Blood Vessels,Arteries supplying specific parts of the brain
Anatomy,Brain – Blood Vessels,Labrynthine artery is a branch of
Anatomy,Brain – Blood Vessels,Blood supply to Fornix
Anatomy,Brain – Blood Vessels,Two internal cerebral veins join to form
Anatomy,Brain – Blood Vessels,Chief artery of the superolateral surface of the cerebral hemisphere
Anatomy,Brain – Blood Vessels,Blood supply of internal capsule
Anatomy,Brain – Blood Vessels,Unpaired vessel in central nervous system
Anatomy,Brain – Blood Vessels,Circumventricular Organs (CVO)
Anatomy,Brain – Blood Vessels,Circle of Willis
Anatomy,Brain – Blood Vessels,Sinuses of the brain
Anatomy,Brain – Blood Vessels,Charcot’s artery
Anatomy,Brain – Blood Vessels,Internal carotid artery branches
Anatomy,Upper Limb Vessels,Branches of brachial artery
Anatomy,Upper Limb Vessels,Interosseous recurrent artery
Anatomy,Upper Limb Vessels,Subscapular artery
Anatomy,Upper Limb Vessels,Modified Allens test
Anatomy,Upper Limb Vessels,Anastomosis around the scapula
Anatomy,Upper Limb Vessels,Axillary LN
Anatomy,Upper Limb Vessels,Subclavian artery
Anatomy,Genital Organs,Supports of the Uterus
Anatomy,Genital Organs,Inguinal Canal and Spermatic Cord Contents
Anatomy,Genital Organs,Helicine arteries of the penis
Anatomy,Genital Organs,DeLancey’s levels of support of the genital organs
Anatomy,Genital Organs,Blood supply of the penis
Anatomy,Genital Organs,Male and female homologous structures
Anatomy,Genital Organs,Fallopian tube
Anatomy,Genital Organs,Nerve supply of scrotum
Anatomy,Genital Organs,Contents of the Broad ligament
Anatomy,Genital Organs,Prostate zones
Anatomy,Pre-embryonic Timeline,Sequence of pre-embryonic development
Anatomy,Pre-embryonic Timeline,Inner cell mass gives rise to
Anatomy,Pre-embryonic Timeline,Timeline of 1st 2 weeks
Anatomy,Pre-embryonic Timeline,Zona reaction
Anatomy,Pre-embryonic Timeline,Steps in maturation of spermatozoon
Anatomy,Pre-embryonic Timeline,Timeline of implantation
Anatomy,Pre-embryonic Timeline,Barriers for Sperm penetration
